name,smiles
CHEMBL23961,COc1ccc2[nH]c(C(=O)O)cc2c1
CHEMBL66557,CCOC(=O)c1cn2ccncc2n1
CHEMBL58404,O=C1CC(C(=O)O)Nc2ccccc21
CHEMBL297432,COC(=O)/C=C/C(=O)c1cccnc1
CARBENDAZIM,COC(=O)Nc1nc2ccccc2[nH]1
CHEMBL26825,COC(=O)c1ccc2c(c1)CNCC2
CHEMBL273939,COC(=O)C1Cc2ccccc2CN1
CHEMBL8708,NC1(C(=O)O)CCc2ccccc2C1
CHEMBL413545,NNC(N)NCCCC(N)C(=O)O
CHEMBL274877,Cc1ccc(C(=O)NCC(=O)O)cc1
CHEMBL276168,CC(=O)N(CC(=O)O)c1ccccc1
CHEMBL66391,CN(CC(=O)O)C(=O)c1ccccc1
CHEMBL422037,CN(C)/N=N/c1ccc(C(=O)O)cc1
CHEMBL45910,CN(C)/N=N/c1ccccc1C(=O)O
CHEMBL29253,O=C(O)CN(CCS)CC(=O)O
CHEMBL276221,Nc1ccccc1C(=O)NCC(=O)O
CHEMBL286436,NC(=O)CNc1ccc(C(=O)O)cc1
AMINOHIPPURIC ACID,Nc1ccc(C(=O)NCC(=O)O)cc1
CHEMBL440648,NC1(C(=O)O)CC1CP(=O)(O)O
CHEMBL29687,NC(C/C=C/P(=O)(O)O)C(=O)O
CHEMBL49180,CC(CP(=O)(O)C(C)N)C(=O)O
CHEMBL443231,O=C(O)CNc1ccccc1C(=O)O
CHEMBL286270,O=C(O)CNc1ccc(C(=O)O)cc1
CHEMBL30012,NC(C(=O)O)c1cccc(C(=O)O)c1
SALICYLURIC ACID,O=C(O)CNC(=O)c1ccccc1O
CHEMBL72405,COC(=O)c1cccc(C(=O)OC)n1
CHEMBL19567,CN(C)CCOC(=O)c1cnccn1
CHEMBL23134,O=C(O)c1cc2ccc(Cl)cc2[nH]1
5-CHLOROINDOLE-2-CARBOXYLIC ACID,O=C(O)c1cc2cc(Cl)ccc2[nH]1
CHEMBL288945,CNc1ccc([N+](=O)[O-])cc1C(=O)O
CHEMBL22586,O=C(O)c1nc2cc(Cl)ccc2[nH]1
CHEMBL28862,NC(CCCP(=O)(O)O)C(=O)O
CHEMBL62560,CC(=O)OC1CC2CC(=O)CC1N2C
CHEMBL65910,NCCCCC(C(=O)O)c1c[nH]cn1
CHEMBL45225,CC(C)c1nc(CC(N)C(=O)O)c[nH]1
CHEMBL281321,NC(CS)c1cccc(C(=O)O)c1
CHEMBL26382,NC(CS)c1ccc(C(=O)O)cc1
CHEMBL18180,CCCOC(=O)N1N=C(C)N=NC1C
CHEMBL78304,COC(=O)N(C)C(C)C#CCN(C)C
CHEMBL39185,NC1(C(=O)O)C2CCC1C(C(=O)O)C2
CHEMBL39215,NC1(C(=O)O)CC2CCC1C2C(=O)O
CHEMBL40154,CC(C)(C)C(=O)N1CCCC1C(=O)O
CHEMBL277823,CCCCCC(=O)NC1CCOC1=O
CHEMBL305331,COC(=O)C1C(O)CC2CCC1N2C
RONIDAZOLE,Cn1c([N+](=O)[O-])cnc1COC(N)=O
CHEMBL66380,O=C(O)CNC(=O)NC1CCCCC1
CHEMBL301386,CN(N=O)C(=O)ON1C(=O)CCC1=O
CARZENIDE,NS(=O)(=O)c1ccc(C(=O)O)cc1
CARBARIL,CNC(=O)Oc1cccc2ccccc12
CHEMBL27690,CC(C)CC(N)C(=O)CC(C)C(=O)O
CHEMBL8185,C=C(CC(N)C(=O)O)CC(N)C(=O)O
CHEMBL67332,NC(CCCC1(C(=O)O)CN1)C(=O)O
CHEMBL8326,C/C(=C/C(N)C(=O)O)CC(N)C(=O)O
CHEMBL8396,CC(N)(/C=C/CC(N)C(=O)O)C(=O)O
CHEMBL428337,C/C(=C\C(N)C(=O)O)CC(N)C(=O)O
CHEMBL36063,CC(=O)NC(CC(=O)[O-])C[N+](C)(C)C
CHEMBL51773,COc1cc(C(=O)O)nc2ccccc12
CHEMBL39823,Cc1ccc2ccc(C(=O)O)c(O)c2n1
CHEMBL77524,COc1ccc(/C=C(\C#N)C(=O)O)cc1
CHEMBL278124,Cc1ccc2nc(C(=O)O)cc(O)c2c1
CHEMBL35922,O=C1NC(=O)C2(CCc3ccccc32)O1
CHEMBL11707,O=C(O)CN1CCCC(CS)C1=O
CHEMBL268238,CC(CC(N)C(=O)O)CC(N)C(=O)O
CHEMBL7882,CC(N)(CCCC(N)C(=O)O)C(=O)O
CHEMBL284592,N#CCCCNc1ccc(C(=O)O)cc1
XANTHURENATE,O=C(O)c1cc(O)c2cccc(O)c2n1
CHEMBL73820,N#C/C(=C\c1ccc(O)c(O)c1)C(=O)O
CHEMBL40727,CCC1(c2ccccc2)OC(=O)NC1=O
CHEMBL10421,O=C(OCN1CCC1=O)c1ccccc1
CHEMBL33441,O=C(O)c1ccc(N2CCCC2=O)cc1
CHEMBL291407,CCOC(=O)c1[nH]c2nccnc2c1C
CHEMBL303019,CCOC(=O)c1c(C)nc2cnccn12
CHEMBL75295,O=C1OCCN1CC#CCn1ccnc1
CHEMBL19568,O=C(OCC(F)(F)F)c1cnccn1
CHEMBL10787,O=C(O)C1CN=C(c2ccccc2O)N1
CHEMBL72366,NC(Cc1onc(O)c1Cl)C(=O)O
CHEMBL22136,NC1(C(=O)O)CC(=CP(=O)(O)O)C1
CHEMBL32972,NC1(C(=O)O)CC=C(P(=O)(O)O)C1
CHEMBL32651,NC1(C(=O)O)C=C(P(=O)(O)O)CC1
CHEMBL278358,O=C(O)c1cc(O)c2cc(F)ccc2n1
CHEMBL45288,CCOC(=O)c1ncn2ccc(O)nc12
CHEMBL278374,O=C(O)CCNc1[nH]cnc2ncnc1-2
CHEMBL19764,CC(=O)OCn1oc(=O)c2ccccc21
CHEMBL9704,CCN(C)/N=N/c1ccc(C(=O)O)cc1
CHEMBL20485,N=C(N)NC(CC(=O)O)c1ccccc1
CHEMBL296242,COC(=O)c1cccc(/N=N/N(C)C)c1
CHEMBL45287,COC(=O)c1ccccc1/N=N/N(C)C
CHEMBL307955,COC(=O)NCC#CCn1cncc1C
CHEMBL298427,COC(=O)c1ccc(/N=N/N(C)C)cc1
CHEMBL73404,COC(=O)N(C)CC#CCn1ccnc1
TOLOXATONE,Cc1cccc(N2CC(CO)OC2=O)c1
CHEMBL74792,O=C1OCCN1CC#CCN1CCCC1
CHEMBL43839,NC(C(=O)O)C1CC1CP(=O)(O)O
CGP-37849,C/C(=C\C(N)C(=O)O)CP(=O)(O)O
