model,cosine_similarity,recall_at_1,recall_at_2,recall_at_3,recall_at_4,recall_at_5,recall_at_6,recall_at_7,recall_at_8,recall_at_9,recall_at_10,recall_at_11,recall_at_12,recall_at_13,recall_at_14,recall_at_15,recall_at_16,recall_at_17,recall_at_18,recall_at_19,recall_at_20,mrr
Full model,0.43163396282629535,0.09090909090909091,0.22727272727272727,0.3181818181818182,0.3181818181818182,0.3181818181818182,0.3181818181818182,0.4090909090909091,0.4090909090909091,0.45454545454545453,0.5,0.5,0.5909090909090909,0.7727272727272727,0.7727272727272727,0.8181818181818182,0.8181818181818182,0.8636363636363636,0.8636363636363636,0.8636363636363636,0.8636363636363636,0.2430525043740495
No fragments,0.43267803910103714,0.045454545454545456,0.2727272727272727,0.2727272727272727,0.3181818181818182,0.36363636363636365,0.36363636363636365,0.36363636363636365,0.4090909090909091,0.4090909090909091,0.45454545454545453,0.5454545454545454,0.6363636363636364,0.8181818181818182,0.8181818181818182,0.8181818181818182,0.8181818181818182,0.8181818181818182,0.8181818181818182,0.8181818181818182,0.8181818181818182,0.2253274080460744
No derivation tree,0.43220343034375797,0.09090909090909091,0.2727272727272727,0.3181818181818182,0.3181818181818182,0.4090909090909091,0.4090909090909091,0.4090909090909091,0.4090909090909091,0.45454545454545453,0.5,0.5454545454545454,0.6818181818181818,0.8181818181818182,0.8181818181818182,0.8181818181818182,0.8636363636363636,0.8636363636363636,0.8636363636363636,0.8636363636363636,0.8636363636363636,0.2574394616143628
No reranking,0.4316339614716443,0.045454545454545456,0.045454545454545456,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.13636363636363635,0.13636363636363635,0.13636363636363635,0.22727272727272727,0.22727272727272727,0.22727272727272727,0.22727272727272727,0.22727272727272727,0.22727272727272727,0.2727272727272727,0.2727272727272727,0.2727272727272727,0.2727272727272727,0.36363636363636365,0.4090909090909091,0.1025458399481281
